Type,Name,X_Relative_Meters,Y_Relative_Meters
PATH,,41.28673266731113,-159.85552000059243
PATH,,42.6587516668726,-161.91494000013876
PATH,,44.456569666703686,-163.6960600007832
PATH,,46.34900966696821,-165.14322000029338
PATH,,48.03643533340851,-166.59038000019905
PATH,,49.29806200025153,-168.13030666772363
PATH,,50.44929633336759,-169.44759333383288
PATH,,51.52167900001607,-170.18972666687446
PATH,,52.60983199995807,-170.69066666719166
PATH,,53.950310333941,-171.02462666713947
PATH,,55.27501833328575,-171.3214800005143
PATH,,56.83628133337792,-171.6368866675711
PATH,,58.82334333340354,-171.9708466675189
PATH,,60.96810866703667,-172.28625333378474
PATH,,63.459821333799496,-172.65732000030553
PATH,,66.20385933325859,-173.0469400009038
PATH,,69.01097866690026,-173.32524000059664
PATH,,71.91271999996687,-173.64064666765344
PATH,,74.7513799998594,-173.99316000049225
PATH,,77.40079600056589,-174.38278000069502
PATH,,79.845197667112,-174.84661333404375
PATH,,82.10035533346358,-175.4959800002574
PATH,,84.26089100005406,-176.3123266676314
PATH,,86.43719700027422,-177.49974000033973
PATH,,88.5977326668647,-179.07677333364632
PATH,,90.61633533347735,-180.91355333375475
PATH,,92.60339733350298,-182.95442000001458
PATH,,94.43275600059343,-184.90252000063293
PATH,,96.13595200032725,-186.64653333391342
PATH,,97.74452599996381,-188.18646000064703
PATH,,99.41618133344676,-189.8006000001311
PATH,,101.02475533375565,-191.21065333425477
PATH,,102.52293700033758,-192.41662000064508
PATH,,103.97380766703897,-193.54837333428492
PATH,,105.4404486666977,-194.42038000072742
PATH,,106.74938633375743,-194.92132000064913
PATH,,107.88485033391615,-194.97698000011312
PATH,,109.14647700042299,-194.75434000067523
PATH,,110.17154866685476,-194.4574866673004
PATH,,110.78659166698274,-194.21629333418053
PATH,,111.0546873333087,-194.1235266673526
PATH,,111.03891700035135,-194.1420800002436
PATH,,110.9600653335476,-194.32761333389948
PATH,,111.18085000066533,-194.27195333364452
PATH,,111.71704133398957,-194.1235266673526
PATH,,112.33208433344524,-193.49271333402996
PATH,,112.85250533381212,-192.82479333373885
PATH,,113.29407466670293,-192.17542666752522
PATH,,113.83026600036334,-191.32197333397372
PATH,,114.35068700005789,-190.09745333350594
PATH,,114.87110800042478,-188.63174000031378
PATH,,115.4546103332934,-187.18458000040812
PATH,,116.08542366671492,-185.40346000055465
PATH,,116.74777766705962,-183.64089333398766
PATH,,117.52052400012278,-181.58147333365037
PATH,,118.30904066715179,-179.4292866672761
PATH,,119.09755733384463,-177.25854666721986
PATH,,119.8860740002013,-175.16202000030958
PATH,,120.78498300028494,-173.0469400009038
PATH,,121.85736566726958,-170.80198666770158
PATH,,122.96128900050509,-168.51992666713542
PATH,,124.15983433383788,-166.21931333367826
PATH,,125.37415000046417,-163.84448666707513
PATH,,126.82502066716556,-161.48821333415398
PATH,,128.63860900062633,-159.33602666698874
PATH,,130.72029300041305,-157.35082000058839
PATH,,132.92813966722025,-155.51404000087544
PATH,,135.2621490003756,-153.78858000048595
PATH,,137.56461766694386,-152.1373333340334
PATH,,139.75669400012137,-150.54174666744032
PATH,,141.85414833353778,-149.0389266672797
PATH,,143.9042916667375,-147.38768000082715
PATH,,145.84404266721873,-145.921966667635
PATH,,147.7522530004406,-144.62323333402125
PATH,,149.43967866654472,-143.25028666765704
PATH,,150.8116976671147,-141.85878666721536
PATH,,151.80522866729558,-140.17043333339885
PATH,,152.4518123333383,-138.5006333336598
PATH,,152.70413766670688,-136.99781333349918
PATH,,152.68836733374954,-135.2538000002187
PATH,,152.499123333555,-133.06450666766693
PATH,,152.2625683338161,-130.83810666735573
PATH,,151.99447266681779,-128.55604666758055
PATH,,151.6159846667649,-126.12556000072246
PATH,,151.14287466661472,-123.54664666757245
PATH,,150.5593723337461,-120.87496666759449
PATH,,149.92855900066075,-118.03630666764263
PATH,,149.1715830002188,-115.21620000018629
PATH,,148.39883666715562,-112.30332666708847
PATH,,147.57877933387573,-109.20492000033477
PATH,,147.2476023333672,-105.8653200004612
PATH,,146.45908566667438,-102.78546666699398
PATH,,145.5444063336334,-99.85404000021418
PATH,,144.7558896666044,-96.8669533339704
PATH,,143.98314333354122,-93.80565333378968
PATH,,143.22616733410774,-90.68869333414497
PATH,,142.48496166662312,-87.66450000014174
PATH,,141.75952633377668,-84.47332666735107
PATH,,141.01832066730057,-81.41202666717035
PATH,,140.32442600003264,-78.48060000039055
PATH,,139.61476100014357,-75.43785333389181
PATH,,138.87355533333127,-72.46932000014354
PATH,,138.1954310000292,-69.4265733336448
PATH,,137.54884733398652,-66.42093333371903
PATH,,136.88649333364182,-63.508060000621214
PATH,,136.28722066680734,-60.59518666752339
PATH,,135.8614216668739,-57.55244000062916
PATH,,135.48293366715714,-54.60246000016738
PATH,,135.1517566669848,-51.763800000215525
PATH,,134.82057966681245,-49.01790666709161
PATH,,134.39478066654283,-46.53176000076954
PATH,,134.01629266682608,-44.15693333416641
PATH,,133.4643310005445,-42.078960000147134
PATH,,132.91236933359056,-40.149413334397224
PATH,,132.29732633379874,-38.25697333403383
PATH,,131.61920200049667,-36.08623333397759
PATH,,130.988388666739,-33.841280000775384
PATH,,130.23141266696936,-31.299473334198353
PATH,,129.52174766708026,-28.405153333991535
PATH,,128.82785300014854,-25.492280000893714
PATH,,128.03933633379185,-22.616513334368875
PATH,,127.34544166686011,-19.75930000033955
PATH,,126.54115466720992,-17.124726666934578
PATH,,125.78417866676794,-14.638580000612507
PATH,,125.01143233370479,-12.300860000582361
PATH,,124.27022666722866,-10.148673333417122
PATH,,123.49748033382933,-7.718186667745499
PATH,,122.75627466668088,-4.990846667117097
PATH,,121.93621733407333,-2.3377200000301457
PATH,,121.77851400012966,1.09464666588039
PATH,,121.14770066704432,4.026073332660189
PATH,,120.5957390000904,7.161586665986874
PATH,,119.9964663335921,10.408419999427991
PATH,,119.23949033382245,13.432613333035732
PATH,,118.35635166669617,16.25271999930561
PATH,,117.61514599988388,19.165593332403432
PATH,,116.8581700004504,21.930039999209328
PATH,,116.29043800053913,24.60171999918728
PATH,,115.78578733380192,27.180633332337294
PATH,,115.31267733331559,29.685333332341344
PATH,,114.91841899996916,32.04160666605347
